Repo,Correct,Total test,Precision,Correct,Total truth,Recall
jBinary,16,107,0.14953271028037382,16,81,0.19753086419753085
json-java,2,21,0.09523809523809523,2,12,0.16666666666666666
nltk,139,1699,0.08181283107710417,139,490,0.2836734693877551
orjson,7,202,0.034653465346534656,7,49,0.14285714285714285
qunit,2,275,0.007272727272727273,2,96,0.020833333333333332
requests,36,207,0.17391304347826086,36,178,0.20224719101123595
stanford-nlp,33,578,0.05709342560553633,33,193,0.17098445595854922
