numpy.array_equiv, 
numpy.array_repr, 
numpy.array_split, 
numpy.array_str, 
numpy.asanyarray, 59350359
numpy.asarray, 28384680,33833832,29518923,25102461,35617073,28337085,59350359
numpy.asarray_chkfinite, 
numpy.ascontiguousarray, 
numpy.asfortranarray, 7688304
numpy.asmatrix, 
numpy.atleast_1d, 
numpy.atleast_2d, 
numpy.atleast_3d, 
numpy.bartlett, 
numpy.base_repr, 
numpy.binary_repr, 
numpy.bincount, 5205345,19201972
numpy.blackman, 
numpy.block, 7115437,33508322
numpy.bmat, 
numpy.broadcast_arrays, 
numpy.broadcast_shapes, 
numpy.broadcast_to, 
numpy.broadcast.reset, 
numpy.busday_count, 
numpy.busday_offset, 
numpy.byte_bounds, 
numpy.can_cast, 
numpy.char.add, 
numpy.char.array, 10984471
numpy.char.asarray, 
numpy.char.capitalize, 
numpy.char.center, 
numpy.char.compare_chararrays, 
numpy.char.count, 
numpy.char.decode, 
numpy.char.encode, 
numpy.char.endswith, 
numpy.char.equal, 
numpy.char.expandtabs, 
numpy.char.find, 
numpy.char.greater, 
numpy.char.greater_equal, 
numpy.char.index, 
numpy.char.isalnum, 
numpy.char.isalpha, 
numpy.char.isdecimal, 
numpy.char.isdigit, 
numpy.char.islower, 
numpy.char.isnumeric, 
numpy.char.isspace, 
numpy.char.istitle, 
numpy.char.isupper, 
numpy.char.join, 
numpy.char.less, 
numpy.char.less_equal, 
numpy.char.ljust, 
numpy.char.lower, 
numpy.char.lstrip, 
numpy.char.mod, 
numpy.char.multiply, 
numpy.char.not_equal, 
numpy.char.partition, 
numpy.char.replace, 
numpy.char.rfind, 
numpy.char.rindex, 
numpy.char.rjust, 
numpy.char.rpartition, 
numpy.char.rsplit, 
numpy.char.rstrip, 
numpy.char.split, 
numpy.char.splitlines, 
numpy.char.startswith, 
numpy.char.str_len, 
numpy.char.strip, 
numpy.char.swapcase, 
numpy.char.title, 
numpy.char.translate, 
numpy.char.upper, 
numpy.char.zfill, 
numpy.choose, 30712402,24426452,13092807
numpy.clip, 15837810
numpy.column_stack, 16473042
numpy.common_type, 
numpy.compress, 
numpy.concatenate, 47388013,28125265,9236926,41989950,29806936,37743843,32658322,25654653
numpy.convolve, 20036663,59162092,14765891,12816011,22988882
numpy.copy, 6431973,36995289,39463019,20645672,11618211
numpy.copyto, 
numpy.core.defchararray.array, 
numpy.core.defchararray.asarray, 
numpy.core.records.array, 16246643
numpy.core.records.fromarrays, 
numpy.core.records.fromfile, 
numpy.core.records.fromrecords, 3518778
numpy.core.records.fromstring, 
numpy.correlate, 19428029,13439718,14297012,28284257,5130808,643699
numpy.count_nonzero, 42916330
numpy.cov, 13312498,45670487,15036205,8506325,21030668,27448352,11442962,8284350
numpy.cross, 9250796,40676205,28953804
numpy.ctypeslib.as_array, 
numpy.ctypeslib.as_ctypes, 
numpy.ctypeslib.as_ctypes_type, 
numpy.ctypeslib.load_library, 
numpy.ctypeslib.ndpointer, 
numpy.cumprod, 
numpy.cumsum, 38666924,16864192,34187130,43563241
numpy.DataSource, 
numpy.datetime_as_string, 
numpy.datetime_data, 
numpy.delete, 15749123,36365990,13077527,58079075,23096417,1642730
numpy.deprecate, 
numpy.deprecate_with_doc, 
numpy.diag, 
numpy.diag_indices, 
numpy.diag_indices_from, 
numpy.diagflat, 
numpy.diagonal, 14758283,9958577,16114333,33508322,35746806,46736258,47314754,21030668,20164685,42154606,41791430,30487383,4445109,61198658
numpy.digitize, 11524664,9444409,24643229
numpy.disp, 
numpy.distutils.core.Extension, 
numpy.distutils.log.set_verbosity, 
numpy.distutils.misc_util.all_strings, 
numpy.distutils.misc_util.allpath, 
numpy.distutils.misc_util.appendpath, 
numpy.distutils.misc_util.as_list, 
numpy.distutils.misc_util.blue_text, 
numpy.distutils.misc_util.Configuration, 
numpy.distutils.misc_util.Configuration.add_data_dir, 
numpy.distutils.misc_util.Configuration.add_data_files, 
numpy.distutils.misc_util.Configuration.add_extension, 
numpy.distutils.misc_util.Configuration.add_headers, 
numpy.distutils.misc_util.Configuration.add_include_dirs, 
numpy.distutils.misc_util.Configuration.add_installed_library, 
numpy.distutils.misc_util.Configuration.add_library, 
numpy.distutils.misc_util.Configuration.add_npy_pkg_config, 
numpy.distutils.misc_util.Configuration.add_scripts, 
numpy.distutils.misc_util.Configuration.add_subpackage, 
numpy.distutils.misc_util.Configuration.get_build_temp_dir, 
numpy.distutils.misc_util.Configuration.get_config_cmd, 
numpy.distutils.misc_util.Configuration.get_distribution, 
numpy.distutils.misc_util.Configuration.get_info, 
numpy.distutils.misc_util.Configuration.get_subpackage, 
numpy.distutils.misc_util.Configuration.get_version, 
numpy.distutils.misc_util.Configuration.have_f77c, 
numpy.distutils.misc_util.Configuration.have_f90c, 
numpy.distutils.misc_util.Configuration.make_config_py, 
numpy.distutils.misc_util.Configuration.make_svn_version_py, 
numpy.distutils.misc_util.Configuration.paths, 
numpy.distutils.misc_util.Configuration.todict, 
numpy.distutils.misc_util.cyan_text, 
numpy.distutils.misc_util.default_config_dict, 
numpy.distutils.misc_util.dict_append, 
numpy.distutils.misc_util.dot_join, 
numpy.distutils.misc_util.exec_mod_from_location, 
numpy.distutils.misc_util.filter_sources, 
numpy.distutils.misc_util.generate_config_py, 
numpy.distutils.misc_util.get_build_architecture, 
numpy.distutils.misc_util.get_cmd, 
numpy.distutils.misc_util.get_data_files, 
numpy.distutils.misc_util.get_dependencies, 
numpy.distutils.misc_util.get_ext_source_files, 
numpy.distutils.misc_util.get_frame, 
numpy.distutils.misc_util.get_info, 
numpy.distutils.misc_util.get_language, 
numpy.distutils.misc_util.get_lib_source_files, 
numpy.distutils.misc_util.get_mathlibs, 
numpy.distutils.misc_util.get_num_build_jobs, 
numpy.distutils.misc_util.get_numpy_include_dirs, 
numpy.distutils.misc_util.get_pkg_info, 
numpy.distutils.misc_util.get_script_files, 
numpy.distutils.misc_util.gpaths, 
numpy.distutils.misc_util.green_text, 
numpy.distutils.misc_util.has_cxx_sources, 
numpy.distutils.misc_util.has_f_sources, 
numpy.distutils.misc_util.is_local_src_dir, 
numpy.distutils.misc_util.is_sequence, 
numpy.distutils.misc_util.is_string, 
numpy.distutils.misc_util.mingw32, 
numpy.distutils.misc_util.minrelpath, 
numpy.distutils.misc_util.njoin, 
numpy.distutils.misc_util.red_text, 
numpy.distutils.misc_util.sanitize_cxx_flags, 
numpy.distutils.misc_util.terminal_has_colors, 
numpy.distutils.misc_util.yellow_text, 
numpy.distutils.system_info.get_info, 
numpy.distutils.system_info.get_standard_file, 
numpy.dot, 20249593,21891043,6299770,23963997,11033573,14758283,22053050,37184618,16617973,9478791,35041597,16114100,34142485,16864192,19839539,6229519,6061720,29120730,42690970,42517281,22949966,15606937,5990577,33004551,32952941,22113979,22418634,54160155,26362932
numpy.dsplit, 
numpy.dstack, 25116595
numpy.dtype.__class_getitem__, 
numpy.dtype.__ge__, 
numpy.dtype.__gt__, 
numpy.dtype.__le__, 
numpy.dtype.__lt__, 
numpy.dtype.__reduce__, 
numpy.dtype.__setstate__, 
numpy.dtype.newbyteorder, 
numpy.ediff1d, 39014324
numpy.einsum, 35838037,18365073,20149201,15606937,25981180,33004551,37794245
