"Paragraph","Tasks"
"For example when run on the input sentence:","run  on input sentence"
"There are descriptions of the sentence level statistical model, semgrex rules, and tokensregex rules in the write up for our 2016 TAC-KBP submission, though this paper also includes details about our overall KBP system which is not included in Stanford CoreNLP.","include details about overall KBP system"
