"Paragraph","Tasks"
"Part of speech tagging assigns part of speech labels to tokens, such as whether they are verbs or nouns. Every token in a sentence is applied a tag. For instance, in the sentence Marie was born in Paris. the word Marie is assigned the tag NNP.","assign part of speech labels
assign part to tokens
assign part such_as verbs
assign part such_as nouns
assign tag NNP
assign word marie"
"This command will apply part of speech tags using a non-default model (e.g. the more powerful but slower bidirectional model):","use non-default model"
"If running on French, German, or Spanish, it is crucial to use the MWT annotator:","use MWT annotator
run  on french
run  on german
run  on spanish"
