"Paragraph","Tasks"
"Provides a fast syntactic dependency parser. We generate three dependency-based outputs, as follows: basic, uncollapsed dependencies, saved in BasicDependenciesAnnotation; enhanced dependencies saved in EnhancedDependenciesAnnotation; and enhanced++ dependencies in EnhancedPlusPlusDependenciesAnnotation. Most users of our parser will prefer the latter representation.","provide fast syntactic dependency parser
save  in basicdependenciesannotation
save  in enhanceddependenciesannotation"
"For details about the dependency software, see this page. For more details about dependency parsing in general, see this page.","parse  in general"
