Repo,Correct,Total test,Precision,Correct,Total truth,Recall
CoreNLP,68,347,0.19596541786743515,68,112,0.6071428571428571
jBinary,20,52,0.38461538461538464,20,31,0.6451612903225806
json-java,8,13,0.6153846153846154,8,8,1.0
nltk,14,119,0.11764705882352941,14,66,0.21212121212121213
orjson,26,81,0.32098765432098764,26,29,0.896551724137931
qunit,13,125,0.104,13,43,0.3023255813953488
requests,88,204,0.43137254901960786,88,155,0.567741935483871
