Series.sub
Series.cat.reorder_categories
Series.convert_dtypes
Series.rdiv
pandas.Series
Series.plot.hist
Series.str.normalize
Series.combine
Series.str.isdigit
Series.notna
Series.__array__
Series.str.slice
Series.dt.to_pydatetime
Series.median
Series.abs
Series.idxmin
Series.get
Series.map
Series.str.slice_replace
Series.str.islower
Series.radd
Series.unstack
Series.isna
Series.between_time
Series.str.upper
Series.mod
Series.str.get
Series.rsub
Series.tail
Series.round
Series.plot.bar
Series.astype
Series.str.rfind
Series.describe
Series.cumsum
Series.diff
Series.to_json
Series.dt.tz_convert
Series.infer_objects
Series.str.isalnum
Series.rmul
Series.str.translate
Series.cummax
Series.floordiv
Series.to_latex
Series.str.pad
Series.aggregate
Series.dt.round
Series.str.find
Series.str.capitalize
Series.duplicated
Series.searchsorted
Series.argmin
Series.argsort
Series.argmax
Series.str.extractall
Series.nlargest
Series.str.index
Series.last
Series.rpow
Series.agg
Series.keys
Series.to_frame
Series.to_excel
Series.truediv
Series.autocorr
Series.str.rjust
Series.to_clipboard
Series.mode
Series.unique
Series.dt.normalize
Series.str.lower
Series.all
Series.plot
tuple
